,type,time,dayofweek,models,params,queuelen,trials,duration
0,13.0,0.5680555555555542,2.0,148.0,11252.0,0.0,40.0,2.0
1,12.0,0.7159722222222209,2.0,7.0,5923.0,0.0,40.0,1.0
2,13.0,0.22291666666666665,5.0,62.0,1906.0,1.0,20.0,0.0
3,5.0,0.42430555555555416,5.0,8.0,4023.0,30.0,40.0,0.0
4,12.0,0.6722222222222208,5.0,1.0,2480.0,0.0,40.0,1.0
5,9.0,0.8986111111111125,3.0,13.0,2654.0,0.0,40.0,1.0
6,12.0,0.7263888888888875,5.0,3.0,8534.0,1.0,40.0,1.0
7,11.0,0.45,3.0,5.0,24753.0,0.0,40.0,0.0
8,13.0,0.7319444444444457,2.0,9.0,323.0,3.0,20.0,1.0
9,9.0,0.40555555555555545,1.0,13.0,2500.0,0.0,40.0,0.0
10,12.0,0.3576388888888888,5.0,9.0,5858.0,1.0,40.0,1.0
11,0.0,0.3298611111111112,1.0,13.0,4446.0,0.0,40.0,1.0
12,11.0,0.4284722222222208,4.0,2.0,24601.0,0.0,200.0,0.0
13,12.0,0.5652777777777791,3.0,62.0,2864.0,0.0,20.0,1.0
14,8.0,0.6104166666666667,5.0,18.0,,0.0,40.0,0.0
15,8.0,0.36944444444444463,4.0,2.0,8956.0,0.0,200.0,0.0
16,5.0,0.6819444444444458,5.0,3.0,4787.0,0.0,40.0,0.0
17,,0.5180555555555543,3.0,9.0,1126.0,0.0,40.0,0.0
18,,0.4375,1.0,11.0,2393.0,1.0,40.0,0.0
19,,0.30972222222222207,4.0,6.0,,0.0,40.0,1.0
20,,0.7326388888888875,3.0,6.0,2611.0,0.0,40.0,0.0
21,12.0,0.7680555555555543,1.0,34.0,3124.0,15.0,40.0,3.0
22,7.0,0.5513888888888876,3.0,9.0,1625.0,41.0,40.0,0.0
23,,0.375,2.0,23.0,5932.0,4.0,40.0,1.0
24,13.0,0.7361111111111125,5.0,18.0,12882.0,4.0,40.0,0.0
25,9.0,0.6979166666666666,5.0,11.0,3720.0,0.0,40.0,1.0
26,6.0,0.6472222222222209,3.0,26.0,438.0,0.0,20.0,0.0
27,4.0,0.6909722222222209,5.0,2.0,351.0,0.0,40.0,0.0
28,0.0,0.47500000000000003,5.0,21.0,5426.0,0.0,100.0,2.0
29,8.0,0.6041666666666666,1.0,34.0,39378.0,0.0,40.0,0.0
30,,0.5131944444444457,3.0,1.0,974.0,0.0,40.0,0.0
31,8.0,0.3979166666666667,1.0,7.0,6660.0,0.0,40.0,0.0
32,11.0,0.6895833333333333,3.0,5.0,25227.0,0.0,40.0,0.0
33,12.0,0.4923611111111124,5.0,8.0,5541.0,27.0,40.0,1.0
34,7.0,0.7312500000000001,1.0,35.0,3104.0,3.0,40.0,1.0
35,2.0,0.26666666666666666,2.0,220.0,14116.0,0.0,40.0,2.0
36,13.0,0.509722222222221,4.0,33.0,3451.0,4.0,40.0,0.0
37,3.0,0.4319444444444458,5.0,2.0,271.0,0.0,40.0,0.0
38,5.0,0.584027777777779,2.0,26.0,,0.0,40.0,2.0
39,9.0,0.677777777777779,5.0,8.0,1366.0,128.0,40.0,0.0
40,2.0,0.32013888888888875,5.0,31.0,36113.0,0.0,40.0,0.0
41,8.0,0.7527777777777791,5.0,14.0,20828.0,0.0,40.0,0.0
42,7.0,0.9097222222222209,2.0,46.0,701.0,0.0,40.0,1.0
43,2.0,0.3958333333333333,1.0,7.0,7532.0,0.0,40.0,0.0
44,7.0,0.6534722222222209,3.0,27.0,3103.0,1.0,40.0,1.0
45,9.0,0.9041666666666667,2.0,45.0,260.0,98.0,40.0,1.0
46,7.0,0.6749999999999999,3.0,5.0,,1.0,40.0,0.0
47,14.0,0.6,2.0,18.0,3202.0,21.0,100.0,1.0
48,8.0,0.7000000000000001,1.0,27.0,26978.0,0.0,40.0,0.0
49,7.0,0.5069444444444458,4.0,27.0,3189.0,35.0,40.0,2.0
50,7.0,0.3215277777777779,5.0,31.0,5187.0,7.0,40.0,1.0
51,7.0,0.37083333333333335,5.0,43.0,5405.0,0.0,40.0,1.0
52,9.0,0.24375,1.0,216.0,,0.0,40.0,3.0
53,,0.4819444444444458,1.0,11.0,252.0,4.0,40.0,0.0
54,9.0,0.6729166666666666,3.0,1.0,659.0,0.0,40.0,0.0
55,9.0,0.4916666666666667,3.0,16.0,,1.0,40.0,0.0
56,12.0,0.7486111111111123,2.0,9.0,3995.0,0.0,40.0,1.0
57,8.0,0.6673611111111124,1.0,2.0,24681.0,0.0,200.0,0.0
58,14.0,0.3819444444444446,5.0,18.0,3223.0,16.0,40.0,1.0
59,12.0,0.7423611111111125,2.0,51.0,6171.0,3526.0,40.0,2.0
60,9.0,0.6513888888888876,2.0,5.0,2165.0,0.0,40.0,0.0
61,,0.7000000000000001,1.0,6.0,74.0,0.0,40.0,0.0
62,7.0,0.6854166666666667,5.0,6.0,1916.0,0.0,40.0,1.0
63,9.0,0.6798611111111125,1.0,3.0,3686.0,4.0,40.0,0.0
64,9.0,0.6680555555555543,7.0,5.0,2699.0,0.0,20.0,0.0
65,,0.6673611111111124,1.0,1.0,35084.0,0.0,200.0,0.0
66,2.0,0.7590277777777791,2.0,8.0,25655.0,0.0,40.0,0.0
67,13.0,0.5506944444444458,3.0,8.0,1656.0,0.0,40.0,0.0
68,14.0,0.6458333333333334,2.0,2.0,1446.0,0.0,40.0,1.0
69,11.0,0.86875,1.0,8.0,16394.0,0.0,40.0,0.0
70,9.0,0.4395833333333334,1.0,11.0,935.0,0.0,40.0,0.0
71,,0.4743055555555542,2.0,17.0,1250.0,0.0,400.0,3.0
72,6.0,0.80625,4.0,14.0,275.0,0.0,40.0,0.0
73,12.0,0.7263888888888875,4.0,4.0,205.0,0.0,40.0,1.0
74,13.0,0.4131944444444446,5.0,221.0,9461.0,0.0,40.0,3.0
75,2.0,0.5256944444444458,2.0,222.0,87931.0,0.0,40.0,3.0
76,,0.7194444444444458,2.0,3.0,4357.0,0.0,40.0,0.0
77,9.0,0.6145833333333334,2.0,26.0,1684.0,0.0,40.0,1.0
78,9.0,0.5631944444444458,2.0,3.0,834.0,0.0,40.0,0.0
79,13.0,0.75625,5.0,13.0,,33.0,40.0,0.0
80,14.0,0.41041666666666665,3.0,18.0,3256.0,4.0,100.0,1.0
81,9.0,0.5451388888888876,7.0,26.0,518.0,0.0,40.0,1.0
82,,0.44930555555555424,3.0,5.0,803.0,21.0,40.0,0.0
83,13.0,0.6597222222222209,4.0,10.0,8308.0,174.0,40.0,1.0
84,13.0,0.4888888888888876,3.0,3.0,2509.0,0.0,40.0,0.0
85,3.0,0.3888888888888888,3.0,3.0,385.0,0.0,40.0,0.0
86,8.0,0.6159722222222209,4.0,31.0,56151.0,0.0,40.0,0.0
87,5.0,0.4201388888888875,5.0,2.0,3649.0,0.0,40.0,0.0
88,9.0,0.56875,1.0,7.0,402.0,1.0,40.0,0.0
89,7.0,0.5104166666666666,5.0,3.0,952.0,0.0,40.0,1.0
90,9.0,0.5784722222222208,5.0,3.0,3728.0,22.0,100.0,0.0
91,12.0,0.49652777777777907,7.0,31.0,2492.0,23.0,40.0,1.0
92,9.0,0.7361111111111125,5.0,17.0,1263.0,0.0,400.0,2.0
93,9.0,0.4604166666666667,5.0,25.0,13051.0,0.0,40.0,2.0
